Fund Symbol|Fund Name|Fund Family Name|Type|Category|Pricing Agent
AAAAX|Deutsche Alternative Asset Allocation Fund Class A|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AAADX|Alpine Accelerating Dividend Fd Cl A|Alpine Management & Research, LLC|MS|Z|State Street Bank & Trust Company
AAAGX|Thrivent Large Cap Growth Fund Class A|Thrivent Funds|MF|Z|Thrivent Investment Management Inc.
AAAIX|American Century Strategic Allocation - Aggressive Instl Class|American Century Investments|MF|Z|State Street Bank & Trust Company
AAANX|Horizon Active Asset Allocation Fd Cl N|AdvisorOne Funds|MS|Z|Gemini Fund Services, LLC
AAAPX|Deutsche Alternative Asset Allocation Fund  Class C|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AAAQX|Deutsche Alternative Asset Allocation Fund Class R|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AAARX|American Century Strategic Allocation Aggressive Cl R|American Century Investments|MF|Z|State Street Bank & Trust Company
AAASX|Deutsche Alternative Asset Allocation Fund Class S|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AAATX|American Fds 2010 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AAAUX|American Century Strategic Allocation Aggressive Fund R6 Cl|American Century Investments|MS|Z|State Street Bank & Trust Company
AAAVX|Deutsche Alternative Asset Allocation Fund - Class R6|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AAAXX|Test Money Market Fund Govt - JFSS|NASDAQ Test Funds|$S|G|Jackson Fund Services
AAAZX|Deutsche Alternative Asset Allocation Fund Insti Class|Deutsche Asset & Wealth Management|MS|Z|State Street Bank & Trust Company
AABAX|Cavanal Hill Balanced Fd Cl A Shs|Cavanal Hill Funds|MS|Z|Citi Fund Services
AABCX|Putnam Dynamic Asset Allocation Balanced Class C|Putnam Investments|MF|Z|State Street Bank & Trust Company
AABDX|American Beacon Intermediate Bond Fd Institutional Cl|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AABFX|Thrivent Balanced Income Plus Fund Class A|Thrivent Funds|MF|Z|Thrivent Investment Management Inc.
AABNX|American Beacon Balanced Fd AMR Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AABOX|Cavanal Hill Bond Fd Cl A Shs|Cavanal Hill Funds|MS|Z|Citi Fund Services
AABPX|American Beacon Balanced Fund Investor Class|American Beacon Funds|MS|Z|State Street Bank & Trust Company
AABTX|American Fds 2015 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AACBX|Balanced Fund, Class C Shares|Cavanal Hill Funds|MS|Z|Citi Fund Services
AACCX|American Century Strategic Allocation: Conservative Class C|American Century Investments|MF|Z|State Street Bank & Trust Company
AACDX|American Century Strategic Allocation Conservative Fund R6 Cl|American Century Investments|MS|Z|State Street Bank & Trust Company
AACEX|U.S. Large Cap Equity Fund, Class C Shares|Cavanal Hill Funds|MS|Z|Citi Fund Services
AACFX|Invesco China Class A|Invesco Funds|MS|Z|AIM Advisors
AACIX|American Beacon Mid-Cap Value Fund Institutional Class|American Beacon Funds|MS|Z|State Street Bank & Trust Company
AACOX|Opportunistic Fund, Class C Shares|Cavanal Hill Funds|MS|Z|Citi Fund Services
AACRX|American Century Strategic Allocation Conservative Class R|American Century Investments|MS|Z|State Street Bank & Trust Company
AACTX|American Fds 2020 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AACXX|Active Assets California Tax-Free Trust|Morgan Stanley Dean Witter Funds|$$|X|State Street Bank & Trust Company
AACYX|Alger Analyst Fund Class C|Alger Funds|MS|Z|Brown Brothers Harriman & Co.
AADAX|Invesco Growth  Allocation Fund Class A|Invesco Funds|MF|Z|AIM Advisors
AADBX|American Beacon Balanced Fund Institutional Class|American Beacon Funds|MS|Z|State Street Bank & Trust Company
AADCX|Invesco Growth Allocation Fund Class C|Invesco Funds|MF|Z|AIM Advisors
AADDX|Alpine Accelerating Dividend Fund|Alpine Management & Research, LLC|MS|Z|State Street Bank & Trust Company
AADEX|American Beacon Large Cap Value Fund Institutional Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AADIX|Invesco Growth Allocation Fund Class R5|Invesco Funds|MS|Z|AIM Advisors
AADRX|Invesco Growth Allocation Fund Class R|Invesco Funds|MS|Z|AIM Advisors
AADSX|Invesco Growth Allocation Fund Class S|Invesco Funds|MS|Z|AIM Advisors
AADTX|American Fds 2025 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AADYX|Invesco Growth Allocation Fund Class Y|Invesco Funds|MS|Z|AIM Advisors
AAEBX|Invesco Growth Allocation Fund Class B|Invesco Funds|MF|Z|AIM Advisors
AAEMX|The Alger Fds II, Alger Emerging Markets Fund Class A|Alger Funds|MS|Z|Brown Brothers Harriman & Co.
AAEPX|American Beacon Emerging Markets Fund Investor Class|American Beacon Funds|MS|Z|State Street Bank & Trust Company
AAEQX|Cavanal Hill U.S. Large Cap Equity Cl A Shs|Cavanal Hill Funds|MS|Z|Citi Fund Services
AAETX|American Fds 2030 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AAFPX|American Beacon S&P 500 Index Fd Investor Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAFTX|American Fds 2035 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AAFXX|American Funds Money Market Fund Cl 529-A|American Funds, Inc.|$S|A|Capital Research and Management Company
AAGAX|American Beacon Large Cap Value Fund AMR Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAGOX|Alger Portfolios - Alger Growth Portfolio Class I-2|Alger Funds|MF|Z|Brown Brothers Harriman & Co.
AAGPX|American Beacon Large Cap Value Fund Investor Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAGRX|Forward Multi-Strategy Fund Institutional Class|Forward Management, LLC|MS|Z|Alps Distributors, Inc.
AAGTX|American Fds 2040 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AAGXX|Active Assets Government Securities Trust|Morgan Stanley Dean Witter Funds|$$|G|State Street Bank & Trust Company
AAHMX|Alpine High Yield Managed Duration Muni Fd Cl A|Alpine Management & Research, LLC|MS|Z|State Street Bank & Trust Company
AAHTX|American Fds 2045 Target Date Retirement Fd Cl A|American Funds, Inc.|MF|Z|Capital Research and Management Company
AAHXX|Test Money Market Fund - UFSI|NASDAQ Test Funds|$S|A|Huntington Asset Services, Inc.
AAHYX|Thrivent Diversified Income Plus Class A|Thrivent Funds|MF|Z|Thrivent Investment Management Inc.
AAIAX|American Beacon International Equity Fund AMR Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAIBX|Cavanal Hill Intermediate Bond Fd Cl A Shs|Cavanal Hill Funds|MS|Z|Citi Fund Services
AAIEX|American Beacon Intl Equity Fund Inst Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAIFX|Anchor Alternative Income Fund - Investor Class|Northern Lights Fund Trust|MS|Z|Gemini Fund Services, LLC
AAIIX|Ancora Income Fund Class I|Ancora Trust|MS|Z|Mutual Shareholder Services, LLC
AAINX|Thrivent Opportunity Income Plus Fund Class A|Thrivent Funds|MF|Z|Thrivent Investment Management Inc.
AAIPX|American Beacon International Equity Fund Investor Class|American Beacon Funds|MF|Z|State Street Bank & Trust Company
AAISX|American Beacon International Equity Fund Advisor Class|American Beacon Funds|MS|Z|State Street Bank & Trust Company
